DATE,A_Rated_OAS,BBB_Rated_OAS,BB_Rated_OAS,B_Rated_OAS,CCC_Rated_OAS,EM_Debt_Corp_OAS,EM_Debt_HY_OAS
31/12/1996,0.57,0.83,1.95,3.61,7.38,,
1/01/1997,0.57,0.83,1.95,3.61,7.38,,
2/01/1997,0.58,0.83,1.92,3.51,7.28,,
3/01/1997,0.57,0.83,1.94,3.54,7.37,,
6/01/1997,0.58,0.85,1.94,3.55,7.36,,
7/01/1997,0.58,0.84,1.93,3.56,7.36,,
8/01/1997,0.57,0.83,1.91,3.53,7.34,,
9/01/1997,0.59,0.85,1.96,3.58,7.47,,
10/01/1997,0.7,0.95,2.02,3.6,7.47,,
13/01/1997,0.58,0.83,1.9,3.48,7.4,,
14/01/1997,0.58,0.83,1.92,3.55,7.37,,
15/01/1997,0.58,0.83,1.91,3.53,7.3,,
16/01/1997,0.57,0.82,1.88,3.48,7.22,,
17/01/1997,0.57,0.82,1.88,3.5,7.24,,
20/01/1997,0.57,0.82,1.88,3.49,7.19,,
21/01/1997,0.58,0.83,1.9,3.51,7.23,,
22/01/1997,0.57,0.82,1.86,3.44,7.15,,
23/01/1997,0.57,0.82,1.84,3.41,7.16,,
24/01/1997,0.57,0.82,1.82,3.37,7.08,,
27/01/1997,0.57,0.82,1.79,3.32,7,,
28/01/1997,0.57,0.82,1.81,3.37,6.95,,
29/01/1997,0.57,0.82,1.81,3.39,7.09,,
30/01/1997,0.57,0.82,1.82,3.43,7.14,,
31/01/1997,0.57,0.82,1.86,3.52,7.3,,
3/02/1997,0.57,0.82,1.87,3.58,7.3,,
4/02/1997,0.57,0.82,1.88,3.59,7.27,,
5/02/1997,0.57,0.82,1.85,3.54,7.22,,
6/02/1997,0.57,0.82,1.84,3.53,7.19,,
7/02/1997,0.58,0.82,1.86,3.58,7.2,,
10/02/1997,0.56,0.81,1.84,3.55,7.12,,
11/02/1997,0.56,0.81,1.84,3.53,7.11,,
12/02/1997,0.57,0.82,1.83,3.5,7.07,,
13/02/1997,0.56,0.81,1.84,3.56,7.13,,
14/02/1997,0.56,0.81,1.84,3.57,7.13,,
17/02/1997,0.56,0.81,1.84,3.57,7.13,,
18/02/1997,0.56,0.81,1.82,3.51,7.07,,
19/02/1997,0.56,0.81,1.8,3.48,7.03,,
20/02/1997,0.56,0.81,1.76,3.36,6.89,,
21/02/1997,0.56,0.81,1.77,3.34,6.92,,
24/02/1997,0.56,0.8,1.75,3.29,6.86,,
25/02/1997,0.56,0.8,1.73,3.27,6.71,,
26/02/1997,0.56,0.8,1.66,3.11,6.53,,
27/02/1997,0.55,0.79,1.66,3.11,6.49,,
28/02/1997,0.55,0.79,1.68,3.08,6.46,,
3/03/1997,0.53,0.77,1.66,3.05,6.49,,
4/03/1997,0.53,0.77,1.64,3.02,6.28,,
5/03/1997,0.53,0.76,1.65,3.07,6.44,,
6/03/1997,0.53,0.77,1.65,3.06,6.42,,
7/03/1997,0.53,0.77,1.67,3.1,6.48,,
10/03/1997,0.53,0.76,1.66,3.11,6.5,,
