PortfolioCode,Date,AllocationType,Position,Weight
Kerwood,30-Jun-19,Objective,ATCHBM00001,100
Kerwood,30-Jun-19,Peer,ATCHBM00023,100
Kerwood,30-Jun-19,Reference,IOZ-AU,27.5
Kerwood,30-Jun-19,Reference,VGS-AU,23.375
Kerwood,30-Jun-19,Reference,IEM-AU,4.125
Kerwood,30-Jun-19,Reference,IAF-AU,11.25
Kerwood,30-Jun-19,Reference,VBND-AU,11.25
Kerwood,30-Jun-19,Reference,BILL-AU,22.5
Kerwood,30-Jun-19,Strategic,IOZ-AU,26
Kerwood,30-Jun-19,Strategic,VGS-AU,22.1
Kerwood,30-Jun-19,Strategic,IEM-AU,3.9
Kerwood,30-Jun-19,Strategic,BLK4709AU,1.5
Kerwood,30-Jun-19,Strategic,BLK9419AU,1.5
Kerwood,30-Jun-19,Strategic,IAF-AU,11.25
Kerwood,30-Jun-19,Strategic,VBND-AU,11.25
Kerwood,30-Jun-19,Strategic,BILL-AU,22.5
Kerwood,30-Jun-19,Tactical,DCA7894AU,5.579735531
Kerwood,30-Jun-19,Tactical,HOW7354AU,4.117262314
Kerwood,30-Jun-19,Tactical,NIK1854AU,0.545872443
Kerwood,30-Jun-19,Tactical,PLA0003AU,1.0692455
Kerwood,30-Jun-19,Tactical,F100-AU,1.107872283
Kerwood,30-Jun-19,Tactical,FUEL-AU,1.087144772
Kerwood,30-Jun-19,Tactical,CRED-AU,2.739925301
Kerwood,30-Jun-19,Tactical,AGVT-AU,2.595787105
Kerwood,30-Jun-19,Tactical,A200-AU,5.40319366
Kerwood,30-Jun-19,Tactical,QRE-AU,1.103367606
Kerwood,30-Jun-19,Tactical,GLOB-AU,1.404170924
Kerwood,30-Jun-19,Tactical,FSF0968AU,2.090686347
Kerwood,30-Jun-19,Tactical,AUD,0.021882584
Kerwood,30-Jun-19,Tactical,CHN8850AU,1.736850553
Kerwood,30-Jun-19,Tactical,FSF0968AU,1.377761303
Kerwood,30-Jun-19,Tactical,AMP1179AU,1.367889736
Kerwood,30-Jun-19,Tactical,PIM4357AU,1.0907207
Kerwood,30-Jun-19,Tactical,WHT2716AU,1.133617654
Kerwood,30-Jun-19,Tactical,TAL0590AU,4.090202624
Kerwood,30-Jun-19,Tactical,ETL0666AU,1.468783582
Kerwood,30-Jun-19,Tactical,F100-AU,0.619408287
Kerwood,30-Jun-19,Tactical,IJP-AU,0.613966682
Kerwood,30-Jun-19,Tactical,IHVV-AU,1.471678354
Kerwood,30-Jun-19,Tactical,ETL0490AU,6.817004373
Kerwood,30-Jun-19,Tactical,MBLCCMH,28.11507119
Kerwood,30-Jun-19,Tactical,OMF0009AU,5.572970336
Kerwood,30-Jun-19,Tactical,RGL0004AU,1.130847223
Kerwood,30-Jun-19,Tactical,IVV-AU,2.146461986
Kerwood,30-Jun-19,Tactical,WFS0547AU,2.906026248
Kerwood,30-Jun-19,Tactical,CNEW-AU,1.516058144
Kerwood,30-Jun-19,Tactical,EBND-AU,2.764497056
Kerwood,30-Jun-19,Tactical,IFRA-AU,2.896179767
Kerwood,30-Jun-19,Tactical,WRA4779AU,2.297857837
