Code,LocalCode,Name,G0,G1,G2,G3,G4,G5,G6,PeerGroup,OptimiserCategory,Type,MCap$,MCapDate,PERatio,EPSGrowth,IRDuration,Hurdle,E-score,S-score,G-score,ESG-score,Controversy-score,Controversy-Items
Atchison55ACTIVE,,Atchison Active 55 SMA,55,,,,SMA,,,,,,,,,,,,,,,,,
Atchison55ETF,,Atchison Dynamic ETF 55 SMA,55,,,,SMA,,,,,,,,,,,,,,,,,
Atchison70ACTIVE,,Atchison Active 70 SMA,70,,,,SMA,,,,,,,,,,,,,,,,,
Atchison70ETF,,Atchison Dynamic ETF 70 SMA,70,,,,SMA,,,,,,,,,,,,,,,,,
AtchisonAusShares,,Atchison Active Australian Shares SMA,Growth,,,,SMA,,,,,,,,,,,,,,,,,
AtchisonIntShares,,Atchison Active International Shares SMA,Growth,,,,SMA,,,,,,,,,,,,,,,,,
AtchisonRealAssets,,Atchison Active Real Assets SMA,Growth,,,,SMA,,,,,,,,,,,,,,,,,
AtchisonAlts,,Atchison Active Alternatives SMA,Growth,,,,SMA,,,,,,,,,,,,,,,,,
AtchisonLongDuration,,Atchison Active Long Duration SMA,Defensive,,,,SMA,,,,,,,,,,,,,,,,,
AtchisonFloatingRate,,Atchison Active Floating Rate SMA,Defensive,,,,SMA,,,,,,,,,,,,,,,,,
