Code,LocalCode,Name,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,RebateAtchison,RebateAtchisonCode,PeerGroup,OptimiserCategory,Type,IRDuration,Hurdle,E-score,S-score,G-score,ESG-score,Controversy-score,Controversy-Items,,Citicode,LastPrice,MarketCap,Exchange,MktVolume,ShortSell%,Date,Basic EPS,Total Revenues,Dividend per Share - Net,Total Assets,Total Liabilities,Growth of Net Income (%),Growth of Net Sales (%),Growth of Free Cash Flow (%),Return on Total Equity (%),Payout Ratio,Total Debt / Total Assets,Net Profit Margin (%),Interest Cover (EBIT)
IOZ-AU,,iShares Core S&P/ASX 200 ETF,Growth,Australian Shares,Australian Shares,Australian Shares,ETF Index,Core,,Core,,,,,,,,,,Australia Large Blend Equity,Australian Equities,ETF,,,,,,,,,,G1ED,,,,,,,,,,,,,,,,,,,
VGS-AU,,Vanguard MSCI Index International Shares ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Developed ,AUD,Developed ,,,,,,,,,,World Large Blend Equity,International Equities - Unhedged,ETF,,,,,,,,,,MQVY,,,,,,,,,,,,,,,,,,,
VGAD-AU,,Vanguard MSCI Index International Shares (hedged) ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Developed ,Local,Developed ,,,,,,,,,,World Currency Hedged Equity,International Equities - Hedged,ETF,,,,,,,,,,M7YI,,,,,,,,,,,,,,,,,,,
IVV-AU,,iShares S&P 500 ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,US,AUD,US,,,,,,,,,,World Other Equity,International Equities - Unhedged,ETF,,,,,,,,,,K49D,,,,,,,,,,,,,,,,,,,
IHVV-AU,,iShares S&P 500 AUD Hedged ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,US,USD,US,,,,,,,,,,World Other Equity,International Equities - Unhedged,ETF,,,,,,,,,,NSHL,,,,,,,,,,,,,,,,,,,
IEU-AU,,iShares Europe ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Europe,AUD,Europe,,,,,,,,,,Europe Equity,International Equities - Unhedged,ETF,,,,,,,,,,K49G,,,,,,,,,,,,,,,,,,,
VEQ-AU,,Vanguard FTSE Europe Shares ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Europe,AUD,Europe,,,,,,,,,,Europe Equity,International Equities - Unhedged,ETF,,,,,,,,,,MWZQ,,,,,,,,,,,,,,,,,,,
IJP-AU,,iShares MSCI Japan ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Japan,AUD,Japan,,,,,,,,,,World Other Equity,International Equities - Unhedged,ETF,,,,,,,,,,K49L,,,,,,,,,,,,,,,,,,,
IEM-AU,,iShares MSCI Emerging Markets ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Emerging,AUD,Emerging,,,,,,,,,,Emerging Markets Equity,International Equities - Emerging,ETF,,,,,,,,,,K49J,,,,,,,,,,,,,,,,,,,
IZZ-AU,,iShares China Large-Cap ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Emerging,AUD,Emerging,,,,,,,,,,Asia Pacific ex Japan Equity,International Equities - Unhedged,ETF,,,,,,,,,,K49C,,,,,,,,,,,,,,,,,,,
