Date,IOZ-AU,HOW2217AU,SCH0101AU,AAP5529AU,GTU0096AU,ALR2783AU,HOW0035AU,PIM0028AU,DDH0002AU,ANT0002AU,RFA0818AU,ASX6124AU,IVV-AU,IHVV-AU,VEQ-AU,IJP-AU,VGAD-AU,VAE-AU,ETL7377AU,HOW6479AU,GSF6910AU,PIM7802AU,MAQ0633AU,AAP8285AU,FRT0009AU,MUA0002AU,SWI1413AU,ETL0483AU,ETL4207AU,ETL0171AU,BLK4709AU,BLK9419AU,VBLD-AU,LAM0044AU,GTU5547AU,TGP0016AU,SAI0004AU,GPEQ-AU,AUS0035AU,EQI4297AU,MAQ5143AU,SCH0038AU,FSM8350AU,ETL2119AU,PIM1038AU,CNA0805AU,ETL6849AU,PER0728AU,WHT5134AU,IAF-AU,AESG-AU,ILB-AU,SSB0122AU,ETL5525AU,FRT0027AU,ETL0018AU,ETL0019AU,CIM0008AU,FLOT-AU,BHYB-AU,ISEC-AU,IOF0127AU,WPC1963AU,CSA0038AU,JBW4379AU,HOW0098AU,IOF0145AU,HOW0052AU,OMF0005AU,ETL0379AU,OMF0018AU,BILL-AU,VGS-AU,IEU-AU,IEM-AU,IZZ-AU,WVOL-AU,VBND-AU,IGB-AU,IHCB-AU,IHHY-AU,IHEB-AU,ATCHBM00001,ATCHBM00002,ATCHBM00003,ATCHBM00004,ATCHBM00005,ATCHBM00006,ATCHBM00007,ATCHBM00008,ATCHBM00009,ATCHBM00010,ATCHBM00011,ATCHBM00012,ATCHBM00013,ATCHBM00014,ATCHBM00015,ATCHBM00016,ATCHBM00017,ATCHBM00018,ATCHBM00019,ATCHBM00020,ATCHBM00021,ATCHBM00022,ATCHBM00023,ATCHBM00024,ATCHBM00025,ATCHBM00026,ATCHBM00027,ATCHBM00028
31/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,0,0,,,,,0,,,0,0,0,,,,,0,0,,,,0,0,,0,0,0
2/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000277848,1.38E-06,0.000277237,-8.32E-06,,0,-1.17E-06,0.000827144,0.000829421,0.00061367,0.000262999,0.000196215,,0.00047024,0.000155009,,0.000286953,,0.000416412,,,0.000178983,,9.84E-05,9.56E-05,1.49E-05,
3/01/2017,0.011869268,,0.011787758,,0.000623861,,0.011944577,0.009553753,0.010235884,0.010226625,0.011704038,,0.011439781,0.0072913,0.006631783,-0.008957593,0.007965797,0.007788978,,,,,0.00678179,,0.004828802,,,0.012836244,,0.004049451,,,,,,0.007781072,,,0.006959583,,,,,,,0,,0.000897335,,0.001075131,,0.001487092,0.001102409,9.98E-05,0.000792419,-0.001323343,0.000193035,0.0054349,,,,-9.73E-05,,0.001422157,,-0.000550619,0.000532442,0.00082475,,,0.000569404,,0.006592486,-0.001133062,0.010031187,0.006680514,0.00533218,,0.001032773,0.00961175,0.00090963,0.000411984,,0.00178937,0.000348519,0.001069169,-0.000296841,0.000659255,0.005932532,0.000966893,0.006377843,0.009265953,0.009457794,0.007417143,0.00655053,0.008127353,5.30E-05,0.004106161,0.001618769,0.005613247,0.004392211,0.00623578,1.50E-05,0.006308655,0.004152731,0.001853118,0.003261568,0.005647477,0.000137732,-0.000229887
4/01/2017,0.000564793,,-0.00068318,,0.006786286,,0.001891929,0.000520607,-0.001251719,-0.001474056,0.000642724,,-0.002275449,0,-2.51E-05,0.021978181,0.006612472,-0.005655476,,,,,0,,0.00347418,,,-0.006429969,,-0.0009243,,,,,,-0.001181861,,,-0.001134737,,,,,,,0.00073922,,-0.000726094,,-0.001694328,,-0.00256657,-0.001572911,-0.002198723,0.000495106,-0.000811578,0.000308876,0.002140743,,,,0.000873778,,0.001231194,,-0.000991141,-0.000567593,0.000329505,,,9.47E-05,,0.000934702,-0.00054299,-0.004736594,-0.009247708,-0.001557282,,-0.002243495,-0.009200969,0.004751174,0.006323129,,0.000751254,4.17E-05,-0.001458915,-0.0013261,-0.00213807,0.005534001,0.000434322,-0.00253162,0.000255442,0.000752948,-0.000433921,-0.01017972,-0.003938526,-0.001341922,0.00083949,0.00652756,0.001000387,0.005105008,0.005388224,4.75E-06,0.001930206,0.000527895,-0.000332057,0.000820548,0.00087738,0.00032911,-0.00016592
5/01/2017,0.002944615,,0.002221578,,-0.002200168,,0.004002705,0.001907616,-0.003759476,0.000393608,0.002202139,,-0.00959697,0.005141051,3.55E-05,0.006838048,0.000287958,0.00507199,,,,,-0.003214245,,-0.000241578,,,-0.001219283,,-0.004540847,,,,,,0.002682002,,,-0.005473536,,,,,,,0.000410448,,0.000817993,,0.002363735,,0.004141671,0.002321612,0.001502705,9.92E-05,0.002030788,0.002987139,0.003663813,,,,0.000485554,,-0.00122968,,0.000109947,0.001324706,0,,,0.000948686,,-0.004301615,0.003728604,0.002912804,0.008103805,-0.000980063,,0.002807306,0.006354921,-0.000203592,0.006362705,,-0.000873122,3.14E-05,0.001982421,0.000843006,0.003308078,0.009378163,0.000621106,0.005788126,0.00219735,0.002550816,0.0007908,-0.001155756,0.001386357,0.003876819,0.000832499,0.002749137,-0.00225158,-0.006833771,0.000812285,5.12E-06,0.000395344,0.000746143,0.000820438,0.000358474,0.000624325,0.00050727,4.45E-05
6/01/2017,0.000373927,,-0.001449255,,-0.001996965,,-0.00210633,-0.001298363,-0.002156658,-0.000344169,-0.001052948,,0.00725659,0.004014277,-0.001457946,-0.006856672,0.002377482,0.003705629,,,,,0,,0.005154444,,,0.000469528,,0.004646177,,,,0.005593353,,0.000865064,,,-0.000207612,,,,,,,0.000738371,,-0.000272152,,0.002656624,,0.004311058,0.002729989,-0.000300489,0.000693115,-0.000709413,-0.001746003,0.002129342,,,,0.000678138,,0.001704318,,0.001102816,0.001606213,0.000164392,-0.000741973,,0.0007586,,0.004056797,0.000704407,0.002661461,0.005227389,0.002023125,,0.00342558,-0.005337121,-0.000754077,-0.001347525,,0.0003201,5.17E-05,0.002264943,0.000367937,0.002754909,-0.004932505,0.000386908,0.002501368,0.0003952,-0.000696059,0.000109413,0.005034136,0.001737991,0.000956295,0.002220861,0.00303996,0.003053119,-0.000748713,0.002191935,5.48E-06,0.000203336,0.000885482,0.000885847,0.000882762,0.001043462,0.000663734,8.99E-05
7/01/2017,0,,0,,0,,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,0,,,0,,0,,,,0,,0,,,0,,,,,,,0,,0,,0,,0,0,0,0,0,0,0,,,,0,,0,,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,-3.18E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.99E-05,,,,,,,,,,,,,,,,,
9/01/2017,0.009012786,,0.008281475,,0.006002883,,0.010101102,0.009273132,0.011165966,0.007332719,0.007057132,,-0.007209118,-0.003284742,-0.007141202,-0.003585944,-0.002608858,-0.006280456,,,,,-0.003627237,,-0.005128012,,,-0.005068519,,-0.007904572,,,,,,-0.001493052,,,-0.006751205,,,,,,,0.000573791,,-0.003631126,,-0.003107032,,-0.003996879,-0.002970133,-9.99E-05,-0.000296304,0.001622722,0.001028928,0.002832444,,,,0.000193506,,0.000378008,,0.000881108,-0.001603637,0.000329343,,,-0.00018997,,-0.007632998,-0.010691889,-0.006692995,-0.003444395,-0.007257115,,-0.004075958,0.00369501,0.00099844,0.001551889,,0.001031104,8.10E-05,-0.002309529,0.00050494,-0.002346716,-0.004666215,0.000278334,-0.004417144,0.007541558,0.007470616,0.004179783,0.003655936,-0.005732064,-0.009092193,-0.004319054,-0.005295265,-0.005148929,-0.007403927,-0.001607853,1.46E-05,0.001854643,0.000454653,-0.000217399,0.00024479,0.000883784,0.000333511,0.000329857
10/01/2017,-0.008081988,,-0.008467522,,-0.007873194,,-0.006641869,-0.011076874,-0.012467375,-0.005618566,-0.006143015,,-0.004808715,-0.000442642,-0.005061571,-0.003785875,9.37E-05,0.004175405,,,,,-0.003134785,,-0.002576988,,,0.006698113,,-0.003475104,,,,,,-0.007084633,,,0.000313778,,,,,,,0.000655543,,-0.001821743,,0.002204693,,0.003201852,0.002234301,-0.000399481,0.002671303,0.000101475,-0.000102827,0.000706594,,,,0.000194285,,0.00028359,,-0.000550316,0.001228319,-0.000246466,,,9.55E-05,,-0.003184101,-4.68E-05,0.003405935,0.001551345,-0.004412961,,0.002744438,-0.000381794,0.001132238,0.001584148,,-0.000804998,1.03E-06,0.001648291,-0.000400624,0.002158243,0.002105828,0.000210195,0.004145529,-0.008046756,-0.007138866,-0.00598465,-0.004877194,0.002004046,-0.001086127,-0.005627572,-0.005138528,-0.002000837,0.001974364,0.00067484,5.12E-06,-0.003810282,-0.001928036,-0.000579164,-0.001800309,-0.00298485,-0.000249759,-7.09E-06
11/01/2017,0.00189266,,0.0051239,,0.004761546,,0.005033477,0.001563041,0.000601124,0.00191625,0.002975998,,0.004418772,0.002729677,0.006590846,-0.003012651,0.002794074,0.007543549,,,,,0,,-0.001614603,,,0.004404461,,-0.000765316,,,,,,0.002616142,,,-0.005122361,,,,,,,0.000163833,,-0.001003919,,-0.000379809,,-0.000636742,-0.000330347,-0.001701472,0.000197696,0.00080977,0.000822301,0.004233675,,,,0.000193431,,0.001227905,,-0.000330198,-9.39E-05,0.000493666,,,0.000283591,,0.000697629,-0.007828828,0.002671383,0.00954876,0.000774728,,-0.000658071,0.002048133,-0.000441054,-0.00467571,,0.001153066,3.31E-05,-0.000201503,1.71E-05,-0.000101541,0.007080466,0.000354775,0.004747939,0.000715545,0.001658503,0.001830604,-0.007186677,0.001822285,-0.006447645,0.003397813,-0.005027131,0.000874934,0.000865832,0.00324179,-1.83E-06,0.001091559,0.000715653,0.000176796,0.000766885,0.000764151,0.000558369,-0.000109622
12/01/2017,-0.000792079,,0.00093447,,0.004322867,,-0.002093105,0.000432936,0.003604967,-0.001422157,0.001597787,,-0.019087908,-0.002052899,-0.015966842,-0.004236913,-0.003597452,-0.012142071,,,,,-0.013694225,,-0.011645913,,,-0.005784661,,-0.011916933,,,,,,0.000632514,,,-0.01208366,,,,,,,0.000327613,,-0.003014782,,0.002731088,,0.004806365,0.00272548,0.003608905,0.000592029,0.000809503,0.000616119,-0.002911408,,,,0.000290498,,0.000283162,,0.000771294,0.001415339,0,,,0.000189934,,-0.014422461,-0.006033549,-0.006043476,-0.019011899,-0.012682604,,0.003447137,-0.001081528,-0.00041152,0.005440533,,-0.000912625,-3.34E-05,0.002211527,0.000608224,0.003653817,0.001714477,0.000216084,-0.011177638,0.000327914,0.00024738,0.00218549,-0.013106077,-0.005905655,-0.004690732,-0.002054646,-0.003136309,-0.011329429,-0.011681853,-0.003620134,5.12E-06,-0.003716809,-0.001798804,-0.00042138,-0.001492568,-0.002947336,5.29E-05,-0.000444514
13/01/2017,-0.007931164,,-0.008997477,,-0.012168331,,-0.005018772,-0.005978871,-0.006285933,-0.004714074,-0.007337904,,0.002787642,0.001832378,0.005268754,-0.001252836,0.004296077,0.002001311,,,,,0,,0.004991122,,,0.002064565,,0.003359414,,,,-0.017276472,,0.003477019,,,0.003297168,,,,,,,0.000491039,,0.00027482,,-0.001254509,,-0.001570775,-0.001153192,-0.000599321,-0.000591679,-0.001111973,-0.000923809,0.004330251,,,,-9.71E-05,,0.001508752,,0.000439783,-0.000471327,-0.00016427,0.001484709,,-9.54E-05,,0.003951259,0.007659399,0.00023567,0.007813971,0.001256076,,-0.001527988,-0.004942258,0.000775059,-0.001647734,,-0.000147708,1.07E-05,-0.000810175,-0.000385419,-0.001234736,0.002677743,0.000420837,0.001218455,-0.006759938,-0.006955418,-0.006639182,-0.004036678,-0.000366122,0.006098957,0.002936949,-0.001181858,0.002488927,0.00314351,0.003289229,0,-0.002037114,-0.0016044,-0.00076958,-0.001589462,-0.001905608,-0.000668656,-0.000439616
14/01/2017,0,,0,,0,,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,0,,,0,,0,,,,0,,0,,,0,,,,,,,0,,0,,0,,0,0,0,0,0,0,0,,,,0,,0,,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.70E-06,0,,-1.10E-06,,,,,,,,,,,,,-9.44E-07,,
16/01/2017,0.004764257,,0.00471092,,0.003058513,,0.002936424,0.002702415,0.000602391,0.005970031,0.00546371,,,,,,,,,,,,0.003394167,,0,,,-0.001779359,,-0.000772544,,,,,,-0.000472443,,,0.000106034,,,,,,,0.000736196,,-0.001557178,,0.000142627,,6.68E-05,8.25E-05,-0.000599681,0.000493201,0.00080936,0.000513525,,,,,0.000871325,,0.000282655,,0.001539858,0.000188877,0.000411355,,,0.00028441,,,,,,,,0.000204113,0.003253685,0.000402088,,,-4.58E-05,7.72E-05,-4.97E-05,5.07E-05,0.000358811,0.002507497,0.000174888,-0.002223897,0.003228511,0.00365955,0.002573284,0.003462872,-0.003408259,-0.005157574,-0.001409849,-0.000671238,-0.000318763,0.000185846,-0.001467598,-0.000183103,0.001045452,0.000779785,0.000407283,0.000651761,0.000949525,7.06E-05,2.08E-05
