PortfolioCode,Date,AllocationType,Position,Weight,
Atchison70ACTIVE,30-Jun-19,Objective,ATCHBM00001,100.00000000,
Atchison70ACTIVE,30-Jun-19,Peer,ATCHBM00026,100.00000000,
Atchison70ACTIVE,30-Jun-19,Reference,IOZ-AU,22.50000000,
Atchison70ACTIVE,30-Jun-19,Reference,VGS-AU,22.50000000,
Atchison70ACTIVE,30-Jun-19,Reference,ATCHBM00013,7.50000000,
Atchison70ACTIVE,30-Jun-19,Reference,ATCHBM00017,5.00000000,
Atchison70ACTIVE,30-Jun-19,Reference,ATCHBM00002,12.50000000,
Atchison70ACTIVE,30-Jun-19,Reference,IAF-AU,12.50000000,
Atchison70ACTIVE,30-Jun-19,Reference,ISEC-AU,12.50000000,
Atchison70ACTIVE,30-Jun-19,Reference,BILL-AU,5.00000000,
Atchison70ACTIVE,30-Jun-19,Strategic,IOZ-AU,39.00000000,
Atchison70ACTIVE,30-Jun-19,Strategic,VGS-AU,37.00000000,
Atchison70ACTIVE,30-Jun-19,Strategic,BLK4709AU,3.00000000,
Atchison70ACTIVE,30-Jun-19,Strategic,VBLD-AU,3.00000000,
Atchison70ACTIVE,30-Jun-19,Strategic,IAF-AU,6.00000000,
Atchison70ACTIVE,30-Jun-19,Strategic,VBND-AU,6.00000000,
Atchison70ACTIVE,30-Jun-19,Strategic,ISEC-AU,2.00000000,
Atchison70ACTIVE,30-Jun-19,Strategic,BILL-AU,4.00000000,
Atchison70ACTIVE,30-Jun-19,Tactical,IOZ-AU,20.11951000,
Atchison70ACTIVE,30-Jun-19,Tactical,HOW2217AU,2.69721000,
Atchison70ACTIVE,30-Jun-19,Tactical,SCH0101AU,5.39442000,
Atchison70ACTIVE,30-Jun-19,Tactical,AAP5529AU,1.34860000,
Atchison70ACTIVE,30-Jun-19,Tactical,CNA0812AU,1.34860000,
Atchison70ACTIVE,30-Jun-19,Tactical,ALR2783AU,2.69721000,
Atchison70ACTIVE,30-Jun-19,Tactical,HOW0035AU,5.39442000,
Atchison70ACTIVE,30-Jun-19,Tactical,IVV-AU,9.54387000,
